date,LA384104005.Q,LA154104005.Q,LA153165105.Q,LA153166000.Q,LA144104005.Q,LA104104005.Q,LA314104005.Q,LA214104005.Q,LA794104005.Q,LA264104005.Q
1945:Q4,352402,29442,18706,6800,55940,44653,254385,12635,5692,5520
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,343964,36067,23100,9777,63908,49889,231306,12683,5245,7823
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,356685,44913,28267,13298,72561,56780,224898,14313,5260,11904
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,369120,53423,33422,16332,79968,62811,220012,15717,7301,13116
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,384453,61273,37406,19374,82933,64394,223629,16618,8617,13469
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,411373,74845,45250,23947,92084,70439,223234,21210,11335,13614
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q3,6106461,1915487,1210049,507427,2235208,1400349,1450932,504834,1042228,290972
1984:Q4,6308385,1977678,1243294,526584,2320616,1457968,1496457,513634,1104498,287264
1985:Q1,6563269,2078615,1316829,551452,2377928,1489462,1567286,539440,1130990,286703
1985:Q2,6782724,2142819,1348447,571290,2443881,1529106,1628224,567800,1190320,287332
1985:Q3,7002345,2223628,1402267,592622,2500359,1572170,1688195,590163,1254430,287772
1985:Q4,7341719,2329784,1450249,610574,2571990,1638943,1762014,677931,1338196,290064
1986:Q1,7513073,2383881,1489804,624425,2636246,1683411,1811367,681579,1393766,298744
1986:Q2,7747006,2436341,1529839,641290,2709107,1737156,1885675,715883,1481336,297840
1986:Q3,7977303,2514174,1589114,657442,2785018,1797227,1949671,728439,1568341,304287
1986:Q4,8216651,2592292,1649024,666355,2864682,1864487,2007547,752130,1683419,300178
1987:Q1,8383255,2626617,1694524,662981,2927660,1908814,2044222,784756,1753182,304492
1987:Q2,8588939,2706834,1757670,674860,2979089,1948373,2101468,801548,1844111,299203
1987:Q3,8772700,2774558,1804085,688353,3044101,1999842,2132373,821668,1917928,300605
1987:Q4,8936080,2802014,1828608,698640,3109776,2051545,2181714,842576,1958824,310447
1988:Q1,9141856,2877784,1887603,713264,3179848,2100786,2231681,852543,1994700,312988
1988:Q2,9349979,2950480,1945778,725994,3257267,2155210,2277616,864616,2069074,313872
1988:Q3,9544584,3020606,1999188,735994,3322704,2196461,2324952,876322,2123456,312074
1988:Q4,9753914,3084161,2054832,745206,3407149,2265205,2369615,892989,2211165,351879
1989:Q1,9940363,3148605,2092082,773653,3473772,2318457,2417116,900870,2313332,353817
1989:Q2,10131965,3222845,2143370,787208,3545314,2377544,2454316,909489,2367133,346589
1989:Q3,10300895,3294297,2205094,796149,3585109,2405997,2500028,921461,2392807,350763
1989:Q4,10501903,3365603,2260115,809285,3645415,2455221,2550522,940363,2463781,354820
1990:Q1,10735375,3458954,2341358,813793,3698996,2502902,2618661,958764,2493951,354298
1990:Q2,10904582,3520478,2395950,818310,3733261,2539035,2681731,969112,2543198,363510
1990:Q3,11060698,3572011,2443875,826225,3759733,2565707,2753929,975024,2588501,368288
1990:Q4,11218115,3624019,2489255,824391,3775906,2585389,2830770,987420,2678251,368739
1991:Q1,11321310,3679607,2538672,824860,3752859,2566605,2889145,999699,2703936,381159
1991:Q2,11464811,3735489,2594093,822851,3752740,2566563,2961398,1015185,2737179,365330
1991:Q3,11590947,3766120,2614390,818093,3721654,2552199,3062723,1040450,2784900,370281
1991:Q4,11746702,3832141,2667356,815581,3688603,2526640,3147363,1078595,2859785,375474
1992:Q1,11890221,3883488,2716521,817269,3690411,2533028,3238034,1078287,2907782,377861
1992:Q2,12016621,3920320,2745221,815377,3683731,2533896,3328872,1083699,2986895,390516
1992:Q3,12179306,3972360,2791381,818575,3685468,2544135,3423745,1097733,3055542,393123
1992:Q4,12297953,4031214,2840353,824769,3680513,2545000,3491131,1095095,3107167,395548
1993:Q1,12431640,4072834,2864951,832774,3697435,2571565,3550017,1111355,3187947,405933
1993:Q2,12637153,4133221,2914487,843397,3731559,2609706,3641160,1131213,3253647,420295
1993:Q3,12832167,4203776,2957023,860654,3767401,2651018,3709639,1151351,3367840,446349
1993:Q4,13021312,4278406,2999178,886169,3805533,2690672,3784333,1153040,3464318,484808
1994:Q1,13174143,4349868,3041601,912689,3866365,2750353,3809948,1147963,3615690,458983
1994:Q2,13349363,4427335,3081917,946409,3912787,2793535,3879588,1129654,3708782,457055
1994:Q3,13520948,4498175,3118460,980405,3963884,2838904,3930823,1128066,3809324,459425
1994:Q4,13701696,4599038,3165940,1021168,4017337,2888046,3977825,1107497,3940849,473421
1995:Q1,13865204,4671658,3203759,1058385,4086784,2946112,4014760,1092002,4028296,489516
1995:Q2,14108683,4752858,3244685,1095019,4160671,3011176,4117882,1077272,4133441,505195
1995:Q3,14266204,4845448,3285767,1133141,4207941,3045233,4149242,1063573,4256211,527278
1995:Q4,14386055,4917704,3319925,1168160,4269626,3094985,4151993,1046732,4411145,602524
1996:Q1,14610917,5039272,3396520,1197356,4315003,3124863,4215265,1041378,4527399,616070
1996:Q2,14835207,5129217,3449269,1224879,4388223,3180786,4279858,1037909,4684475,627506
1996:Q3,15005864,5199180,3490299,1247457,4450021,3222564,4327646,1029017,4789006,658966
1996:Q4,15135908,5277184,3538132,1273878,4489452,3244370,4343083,1026189,4985729,689142
1997:Q1,15329231,5364199,3597839,1284329,4563807,3295791,4369736,1031489,5068436,698860
1997:Q2,15535113,5446063,3643550,1302783,4654149,3362535,4395842,1039059,5258189,718742
1997:Q3,15792775,5543361,3715702,1321301,4776191,3458620,4415850,1057373,5365336,747615
1997:Q4,15974526,5622705,3754238,1344165,4868383,3521371,4406492,1076946,5567418,763591
1998:Q1,16242344,5731918,3834436,1352528,5010189,3621011,4407670,1092568,5821461,790546
