"CAINC4 Personal Income and Employment by Major Component"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"37063","Durham, NC","70","Proprietors' income 9/",622786,549925,566742,673136,1081414,1060164,1193510,1089016,1151204,1230620,1339595,1394954,1456415
"37063","Durham, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37063","Durham, NC","7010","Total employment",213221,223022,225644,223040,221518,221294,227997,231057,243291,246609,255030,261227,268591
"37063","Durham, NC","7020","  Wage and salary employment",186467,194205,196519,192600,190976,188986,195418,197593,208107,209652,214268,218493,224584
"37063","Durham, NC","7040","  Proprietors employment",26754,28817,29125,30440,30542,32308,32579,33464,35184,36957,40762,42734,44007
"37065","Edgecombe, NC","70","Proprietors' income 9/",67209,42467,50032,63380,77678,78108,78671,42225,30455,20067,22090,30431,20391
"37065","Edgecombe, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37065","Edgecombe, NC","7010","Total employment",26582,26410,25323,24274,23905,24295,22801,22528,21967,21456,21845,21551,21261
"37065","Edgecombe, NC","7020","  Wage and salary employment",22853,22446,21530,20576,20081,19534,18689,18512,18122,17626,18022,17697,17317
"37065","Edgecombe, NC","7040","  Proprietors employment",3729,3964,3793,3698,3824,4761,4112,4016,3845,3830,3823,3854,3944
"37067","Forsyth, NC","70","Proprietors' income 9/",1167412,1083883,1200830,1124297,1499656,973101,1076011,1034845,1119200,1177018,1282760,1384600,1438288
"37067","Forsyth, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37067","Forsyth, NC","7010","Total employment",232678,238062,237517,228716,225470,226100,229764,230997,235784,239172,240833,242691,247153
"37067","Forsyth, NC","7020","  Wage and salary employment",195802,199045,198883,189304,186278,185237,188750,188605,192128,195026,197081,197475,200697
"37067","Forsyth, NC","7040","  Proprietors employment",36876,39017,38634,39412,39192,40863,41014,42392,43656,44146,43752,45216,46456
"37069","Franklin, NC","70","Proprietors' income 9/",87665,82488,91306,82053,81189,89187,112073,111840,121834,118451,114177,126391,123154
"37069","Franklin, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37069","Franklin, NC","7010","Total employment",17911,19240,18798,18478,18636,18356,18013,18104,18573,18908,19462,20267,21031
"37069","Franklin, NC","7020","  Wage and salary employment",12730,13468,13105,12796,12856,12523,12180,12102,12480,12683,12822,13161,13728
"37069","Franklin, NC","7040","  Proprietors employment",5181,5772,5693,5682,5780,5833,5833,6002,6093,6225,6640,7106,7303
